,beta0,beta1,beta2,beta3,beta4,beta5,beta6,beta7,beta8,beta9,beta10,beta11,beta12,beta13,beta14,beta15,beta16,beta17,beta18,beta19,beta20,beta21,beta22,beta23,beta24,beta25,beta26,beta27,beta28,beta29,beta30,beta31,beta32,beta33,beta34,beta35,beta36,beta37,beta38,beta39,beta40,beta41,beta42,beta43,beta44,beta45,beta46,beta47,beta48,beta49,beta50,K,cross_val,train_error,validation_error
10,0.0200521491586759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.4235568477375393,0.0,0.0,0.0,0.0,0.0,-0.5612154153049551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5302842365820128,0.8768171074079764,0.0,-1.3193978399066322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.517747343863948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3368612059185187,1.8617143885890346,-0.2498143055532865,0.9128022781148961,0.0,0.0,0.0,10,0,2.4708180459693256,2.1964815896156016
11,0.01858866383423924,0.0,0.0,0.0,0.0,0.0,0.29490464041491615,0.0,0.0,-2.216294663771891,0.0,0.0,0.0,0.0,0.0,-0.5436470421172377,0.0,0.0,0.0,0.0,0.0,0.28706948064533966,0.0,-1.6366026595250303,1.0685603384320352,0.0,-1.3789029816576746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5400436361758801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8353099009014586,0.0,0.8821136062298326,0.0,0.0,0.0,10,1,2.3969735748223724,2.675185629811564
12,0.019031421376234706,0.0,0.0,0.0,0.0,0.0,0.2598021036677767,0.0,0.0,-2.28087610654442,0.0,0.0,0.0,0.0,0.0,-0.571192794619097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5270996165570805,0.8691892142677754,0.0,-1.4114121196473377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5455043344489495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2901685830821031,1.7845398632700402,0.0,0.9365082177121589,0.0,0.0,0.0,10,2,2.32849961105186,3.4060670118102974
13,0.01888052586731938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.325973642868119,0.0,0.0,0.0,0.0,0.0,-0.5574714202863597,-0.1860791811299906,0.0,0.0,0.0,0.0,0.0,0.0,-1.6216628680147223,0.8451184881359067,0.0,-1.3291384438702967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3835599079840492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8040047208013,0.0,0.9290952875724658,-0.2811546181941018,0.0,0.0,10,3,2.346118442563388,2.8900967565413858
14,0.01963282185029972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.2472501758886514,0.0,0.0,0.0,0.0,0.0,-0.4293187474127684,0.0,0.0,0.0,0.0,0.0,0.0,-0.40024237828404613,-1.5703900060165048,0.8640082438868801,0.0,-1.5172971310640864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32755654922708655,0.0,0.0,0.0,0.0,-0.4054677371603249,0.0,0.0,0.0,0.0,0.0,1.6464444137861949,0.0,0.8899555993629403,0.0,0.0,0.0,10,4,2.265248947738158,3.876993870377209
15,0.01958995858933497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.340496352767445,0.0,0.0,0.0,0.0,0.0,-0.596284123051709,-0.17214478389999538,0.0,0.0,0.0,0.0,0.0,0.0,-1.58994374677124,0.8208054794366527,0.0,-1.341428812496035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45136645560212235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8211883369402129,0.0,0.9188437257446497,-0.27011322009622013,0.0,0.0,10,5,2.2763054595003998,3.586212636780405
16,0.018599082528312706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.344866910335488,0.0,0.0,0.0,0.0,0.0,-0.504608766151374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5660302192691793,0.8952380842233647,0.0,-1.3422878393155402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5861199520209466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3155830561533341,1.850778925184715,-0.2464827877682177,0.80895509815302,0.0,0.0,0.0,10,6,2.350029703408719,3.2563465429958685
17,0.020257406094759806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.354623340840358,0.0,0.0,0.0,0.0,0.0,-0.46487811767350756,-0.22072196878330613,0.0,0.0,0.0,0.0,0.0,0.0,-1.5845735449462437,0.7978953648546849,0.0,-1.2758160605580664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.344469964426742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7390243461587636,0.0,0.9036520414039365,-0.30363767004881503,0.0,0.0,10,7,2.44370086220452,2.109786400294604
18,0.02028420320596963,0.0,0.0,0.0,0.0,0.0,0.2804859583730141,0.0,0.0,-2.2587510945547384,0.0,0.0,0.0,0.0,0.0,-0.4742657256199455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6438315715289809,0.9389411445240898,0.0,-1.4871333833402702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5331158859134812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.809447277218301,0.0,0.9338500255240582,-0.29530797510877216,0.0,0.0,10,8,2.3140296880591227,3.4291200445064556
19,0.019202350664755636,0.0,0.0,0.22850052647682234,0.0,0.0,0.0,0.0,0.0,-2.298477475597941,0.0,0.0,0.0,0.0,0.0,-0.5332670051901846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5544557054241455,0.9402849870262298,0.0,-1.350213934782972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48667393332917663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7703086144649498,-0.22723713853815009,0.7324023540139395,0.0,0.0,0.0,10,9,2.179566909736722,4.941602775607544
